term,tree_importance,linear_coefficient,document_frequency
court,0.009736889186251046,0.5627092693079437,0.9003802281368659
law,0.006909594801561758,-1.237983559778099,0.25551330798479
appeals,0.006347130673398489,0.3002903147293639,0.6509505703422088
district,0.0063129443308397835,-0.5868039051579805,0.628517110266165
state,0.005886828291054443,-0.27543346733873114,0.37528517110266874
circuit,0.005783587945055513,0.9805936004304849,0.48250950570343637
act,0.004936715545957708,0.020192878837820626,0.36844106463878995
supreme,0.004834604846153162,0.7056714641648901,0.3250950570342243
held,0.004604432054492879,0.5739561446050316,0.35323193916350376
federal,0.004450472875939401,0.4370717363857953,0.41901140684411653
reversed,0.004352005063747439,0.9288269605108643,0.23688212927756536
affirmed,0.004337134128400735,0.3729032757094424,0.3680608365019078
sued,0.004257094860952198,1.5226219430045171,0.21254752851710923
argued,0.0042495269472443125,-0.055156049559000275,0.2673003802281368
did,0.00400592439819062,0.24714427907108705,0.3262357414448708
filed,0.003916239082269866,-0.18519217109849975,0.31901140684410983
section,0.003846299842378751,-1.027719414308566,0.10266159695817452
paid,0.0037577205455920017,-1.041676036613519,0.038403041825095054
states,0.003584600187852527,0.11493466722517368,0.22813688212927644
interstate,0.0034494029030810803,-0.719958193392573,0.02433460076045629
case,0.003438970894617574,-0.19366829858428747,0.24980988593155767
issue,0.0034275123961525033,-1.1329450428764352,0.06615969581749033
violated,0.0034124824561687786,-0.40892494833619925,0.23003802281368707
action,0.0033679535055613666,-0.026578868963167895,0.1304182509505698
convicted,0.003361416771660935,-0.22763059379417502,0.18593155893536034
